"SALK_Line","fitness","fitdev"
"CS60000",53.7241379310345,7.45572186364653e-16
"ECOTYPE - 1376",44,-40.2740740740741
"ECOTYPE - 1436",0,-12.5
"ECOTYPE - 1554",39.5,-34.2611111111111
"ECOTYPE - 22587",0,-58.9
"ECOTYPE - 22594",64,0.751851851851853
"ECOTYPE - 22623",21.75,-21.3805555555556
"ECOTYPE - 22631",98.6666666666667,45.3259259259259
"ECOTYPE - 22635",56.3333333333333,24.0185185185185
"ECOTYPE - 22645",86,22.7518518518518
"ECOTYPE - 6885",77.5,18.6
"SALK_017933C",81.9310344827586,28.2068965517241
"SALK_033462C",61.9,8.55925925925926
"SALK_038957C",20.2413793103448,-33.4827586206897
"SALK_042704C",65.3666666666667,12.0259259259259
"SALK_050488C",29.4666666666667,-23.8740740740741
"SALK_054680C",86.3333333333333,32.9925925925926
"SALK_059835C",86.6,33.2592592592593
"SALK_063722C",69.1034482758621,15.3793103448276
"SALK_094332C",55.8275862068966,2.10344827586207
"SALK_126600C",90.4666666666667,37.1259259259259
"SALK_134535C",11.551724137931,-43.1973180076628
"SALK_150522C",60.2333333333333,6.89259259259259
